alg,nTubes,tubeH,nColors,nMovesMin,nMovesMean,nMovesMax,memMBMin,memMBMean,memMBMax,tmsMin,tmsMean,tmsMax
astar-admissible,2,4,1,1,1,1,0.132,0.132,0.132,0.025045,0.029511,0.035853
astar-admissible,3,4,1,1,1,1,0.132,0.174175,0.264,0.04489,0.0582,0.081367
astar-admissible,4,4,2,1,1,1,0.264,0.367063,0.528,0.2084,0.308628,0.603677
astar-admissible,5,4,2,1,1,1,0.396,0.530819,0.66,0.346298,0.520417,0.669908
astar-admissible,6,4,3,1,1,1,0.924,1.53458,2.508,0.953965,1.99826,3.36735
astar-admissible,7,4,3,1,1,1,1.584,3.00509,6.864,1.48594,3.88631,11.083
astar-admissible,8,4,4,1,1,1,3.168,6.48136,30.272,3.46753,8.97254,63.5979
astar-admissible,9,4,4,1,1,1,4.616,8.6344,16.228,5.71804,12.1293,26.4555
astar-admissible,10,4,5,1,1,1,8.448,21.526,37.244,11.4452,34.3483,69.2094
astar-admissible,11,4,5,1,1,1,16.24,65.4403,484.496,19.9216,115.361,1050.41
astar-admissible,12,4,6,1,1,1,17.68,88.1633,2148.17,21.4207,159.591,5400.85
astar-admissible,13,4,6,1,1,1,19.536,164.162,2932.78,30.1804,334.859,7314.78
astar-admissible,14,4,7,1,1,1,40.376,187.068,1240.89,64.9276,374.76,2804.28
astar-admissible,15,4,7,1,1,1,170.52,634.003,5245.97,305.737,1530.87,15015.4
